Category: All categories

Month,ramen: (United States)
2004-01,6
2004-02,4
2004-03,3
2004-04,4
2004-05,4
2004-06,5
2004-07,5
2004-08,5
2004-09,5
2004-10,5
2004-11,5
2004-12,5
2005-01,5
2005-02,6
2005-03,5
2005-04,5
2005-05,5
2005-06,6
2005-07,7
2005-08,7
2005-09,7
2005-10,6
2005-11,6
2005-12,6
2006-01,7
2006-02,6
2006-03,6
2006-04,7
2006-05,6
2006-06,6
2006-07,7
2006-08,7
2006-09,7
2006-10,6
2006-11,6
2006-12,6
2007-01,7
2007-02,7
2007-03,7
2007-04,6
2007-05,7
2007-06,8
2007-07,9
2007-08,8
2007-09,8
2007-10,7
2007-11,7
2007-12,7
2008-01,8
2008-02,7
2008-03,7
2008-04,7
2008-05,8
2008-06,8
2008-07,9
2008-08,9
2008-09,8
2008-10,8
2008-11,8
2008-12,8
2009-01,8
2009-02,8
2009-03,8
2009-04,8
2009-05,9
2009-06,10
2009-07,11
2009-08,10
2009-09,10
2009-10,9
2009-11,10
2009-12,10
2010-01,10
2010-02,10
2010-03,9
2010-04,10
2010-05,10
2010-06,11
2010-07,12
2010-08,12
2010-09,10
2010-10,11
2010-11,11
2010-12,11
2011-01,12
2011-02,11
2011-03,11
2011-04,11
2011-05,12
2011-06,13
2011-07,15
2011-08,14
2011-09,14
2011-10,12
2011-11,14
2011-12,15
2012-01,15
2012-02,15
2012-03,13
2012-04,14
2012-05,14
2012-06,16
2012-07,17
2012-08,17
2012-09,17
2012-10,16
2012-11,16
2012-12,17
2013-01,20
2013-02,17
2013-03,17
2013-04,17
2013-05,18
2013-06,18
2013-07,20
2013-08,25
2013-09,24
2013-10,22
2013-11,23
2013-12,22
2014-01,25
2014-02,22
2014-03,23
2014-04,22
2014-05,22
2014-06,24
2014-07,29
2014-08,28
2014-09,28
2014-10,25
2014-11,25
2014-12,28
2015-01,31
2015-02,27
2015-03,30
2015-04,26
2015-05,27
2015-06,28
2015-07,31
2015-08,32
2015-09,29
2015-10,31
2015-11,33
2015-12,35
2016-01,38
2016-02,35
2016-03,35
2016-04,35
2016-05,33
2016-06,35
2016-07,37
2016-08,39
2016-09,43
2016-10,42
2016-11,42
2016-12,44
2017-01,48
2017-02,45
2017-03,46
2017-04,44
2017-05,41
2017-06,42
2017-07,50
2017-08,52
2017-09,48
2017-10,50
2017-11,54
2017-12,59
2018-01,65
2018-02,58
2018-03,57
2018-04,55
2018-05,48
2018-06,55
2018-07,55
2018-08,57
2018-09,60
2018-10,58
2018-11,62
2018-12,64
2019-01,70
2019-02,60
2019-03,60
2019-04,55
2019-05,56
2019-06,61
2019-07,63
2019-08,63
2019-09,60
2019-10,63
2019-11,70
2019-12,76
2020-01,74
2020-02,69
2020-03,63
2020-04,59
2020-05,54
2020-06,57
2020-07,60
2020-08,63
2020-09,65
2020-10,66
2020-11,66
2020-12,70
2021-01,74
2021-02,73
2021-03,70
2021-04,67
2021-05,70
2021-06,73
2021-07,83
2021-08,80
2021-09,78
2021-10,84
2021-11,86
2021-12,94
2022-01,100
2022-02,86
2022-03,83
2022-04,79
2022-05,75
2022-06,76
2022-07,86
2022-08,79
2022-09,79
2022-10,81
2022-11,87
2022-12,97
2023-01,93
2023-02,90
2023-03,87
2023-04,81
2023-05,74
2023-06,86
2023-07,85
2023-08,81
2023-09,83
2023-10,86
