Category: All categories

Month,ramen: (Australia)
2004-01,2
2004-02,4
2004-03,0
2004-04,2
2004-05,2
2004-06,8
2004-07,0
2004-08,4
2004-09,4
2004-10,8
2004-11,3
2004-12,6
2005-01,3
2005-02,3
2005-03,2
2005-04,3
2005-05,2
2005-06,2
2005-07,2
2005-08,2
2005-09,0
2005-10,3
2005-11,6
2005-12,1
2006-01,3
2006-02,3
2006-03,1
2006-04,3
2006-05,2
2006-06,4
2006-07,4
2006-08,6
2006-09,4
2006-10,5
2006-11,1
2006-12,3
2007-01,4
2007-02,4
2007-03,3
2007-04,3
2007-05,4
2007-06,4
2007-07,4
2007-08,3
2007-09,6
2007-10,6
2007-11,4
2007-12,5
2008-01,2
2008-02,3
2008-03,5
2008-04,7
2008-05,6
2008-06,5
2008-07,6
2008-08,7
2008-09,4
2008-10,6
2008-11,5
2008-12,7
2009-01,6
2009-02,7
2009-03,5
2009-04,5
2009-05,8
2009-06,8
2009-07,7
2009-08,6
2009-09,8
2009-10,5
2009-11,6
2009-12,9
2010-01,8
2010-02,6
2010-03,8
2010-04,10
2010-05,8
2010-06,9
2010-07,8
2010-08,7
2010-09,8
2010-10,8
2010-11,9
2010-12,8
2011-01,8
2011-02,8
2011-03,8
2011-04,9
2011-05,8
2011-06,9
2011-07,10
2011-08,9
2011-09,10
2011-10,9
2011-11,10
2011-12,11
2012-01,11
2012-02,12
2012-03,10
2012-04,11
2012-05,11
2012-06,12
2012-07,11
2012-08,10
2012-09,10
2012-10,11
2012-11,10
2012-12,12
2013-01,11
2013-02,12
2013-03,12
2013-04,15
2013-05,13
2013-06,15
2013-07,16
2013-08,17
2013-09,16
2013-10,18
2013-11,17
2013-12,15
2014-01,15
2014-02,15
2014-03,18
2014-04,23
2014-05,20
2014-06,19
2014-07,19
2014-08,21
2014-09,19
2014-10,20
2014-11,19
2014-12,18
2015-01,23
2015-02,19
2015-03,22
2015-04,25
2015-05,25
2015-06,27
2015-07,33
2015-08,28
2015-09,25
2015-10,27
2015-11,26
2015-12,26
2016-01,30
2016-02,30
2016-03,31
2016-04,35
2016-05,35
2016-06,37
2016-07,40
2016-08,34
2016-09,34
2016-10,33
2016-11,32
2016-12,33
2017-01,36
2017-02,38
2017-03,41
2017-04,46
2017-05,45
2017-06,49
2017-07,52
2017-08,48
2017-09,47
2017-10,45
2017-11,45
2017-12,42
2018-01,48
2018-02,47
2018-03,50
2018-04,62
2018-05,59
2018-06,58
2018-07,59
2018-08,60
2018-09,57
2018-10,53
2018-11,52
2018-12,50
2019-01,49
2019-02,50
2019-03,52
2019-04,58
2019-05,59
2019-06,63
2019-07,61
2019-08,59
2019-09,56
2019-10,57
2019-11,53
2019-12,56
2020-01,58
2020-02,57
2020-03,42
2020-04,47
2020-05,58
2020-06,63
2020-07,58
2020-08,55
2020-09,51
2020-10,55
2020-11,53
2020-12,58
2021-01,67
2021-02,59
2021-03,63
2021-04,69
2021-05,70
2021-06,70
2021-07,58
2021-08,57
2021-09,48
2021-10,56
2021-11,59
2021-12,54
2022-01,62
2022-02,66
2022-03,68
2022-04,83
2022-05,80
2022-06,87
2022-07,82
2022-08,73
2022-09,68
2022-10,61
2022-11,60
2022-12,63
2023-01,72
2023-02,65
2023-03,63
2023-04,86
2023-05,100
2023-06,99
2023-07,86
2023-08,74
2023-09,69
2023-10,70
