Category: All categories

Month,ramen: (Germany)
2004-01,2
2004-02,3
2004-03,2
2004-04,5
2004-05,4
2004-06,4
2004-07,0
2004-08,4
2004-09,0
2004-10,3
2004-11,4
2004-12,4
2005-01,2
2005-02,3
2005-03,3
2005-04,5
2005-05,3
2005-06,4
2005-07,3
2005-08,6
2005-09,5
2005-10,3
2005-11,3
2005-12,3
2006-01,3
2006-02,4
2006-03,3
2006-04,4
2006-05,4
2006-06,3
2006-07,3
2006-08,3
2006-09,5
2006-10,3
2006-11,4
2006-12,4
2007-01,5
2007-02,3
2007-03,5
2007-04,4
2007-05,5
2007-06,4
2007-07,4
2007-08,4
2007-09,5
2007-10,5
2007-11,4
2007-12,4
2008-01,4
2008-02,5
2008-03,5
2008-04,5
2008-05,6
2008-06,3
2008-07,5
2008-08,5
2008-09,5
2008-10,5
2008-11,6
2008-12,4
2009-01,5
2009-02,4
2009-03,4
2009-04,5
2009-05,6
2009-06,4
2009-07,5
2009-08,4
2009-09,4
2009-10,4
2009-11,5
2009-12,5
2010-01,5
2010-02,5
2010-03,4
2010-04,4
2010-05,5
2010-06,5
2010-07,4
2010-08,5
2010-09,5
2010-10,4
2010-11,5
2010-12,4
2011-01,6
2011-02,5
2011-03,6
2011-04,5
2011-05,5
2011-06,6
2011-07,6
2011-08,6
2011-09,6
2011-10,5
2011-11,6
2011-12,6
2012-01,7
2012-02,6
2012-03,5
2012-04,7
2012-05,5
2012-06,6
2012-07,5
2012-08,32
2012-09,7
2012-10,7
2012-11,6
2012-12,6
2013-01,6
2013-02,6
2013-03,6
2013-04,7
2013-05,6
2013-06,6
2013-07,6
2013-08,9
2013-09,7
2013-10,8
2013-11,8
2013-12,7
2014-01,8
2014-02,9
2014-03,8
2014-04,8
2014-05,9
2014-06,7
2014-07,8
2014-08,10
2014-09,11
2014-10,9
2014-11,8
2014-12,8
2015-01,10
2015-02,10
2015-03,10
2015-04,9
2015-05,10
2015-06,10
2015-07,10
2015-08,9
2015-09,11
2015-10,12
2015-11,11
2015-12,11
2016-01,16
2016-02,14
2016-03,13
2016-04,13
2016-05,12
2016-06,11
2016-07,11
2016-08,14
2016-09,15
2016-10,15
2016-11,16
2016-12,14
2017-01,17
2017-02,20
2017-03,19
2017-04,19
2017-05,16
2017-06,16
2017-07,16
2017-08,18
2017-09,19
2017-10,23
2017-11,23
2017-12,24
2018-01,30
2018-02,31
2018-03,30
2018-04,26
2018-05,23
2018-06,23
2018-07,23
2018-08,31
2018-09,34
2018-10,38
2018-11,33
2018-12,31
2019-01,38
2019-02,51
2019-03,41
2019-04,36
2019-05,34
2019-06,32
2019-07,35
2019-08,37
2019-09,33
2019-10,45
2019-11,45
2019-12,44
2020-01,48
2020-02,43
2020-03,30
2020-04,30
2020-05,35
2020-06,36
2020-07,43
2020-08,46
2020-09,44
2020-10,46
2020-11,35
2020-12,35
2021-01,42
2021-02,44
2021-03,39
2021-04,35
2021-05,38
2021-06,36
2021-07,46
2021-08,56
2021-09,49
2021-10,59
2021-11,53
2021-12,55
2022-01,66
2022-02,65
2022-03,61
2022-04,65
2022-05,50
2022-06,50
2022-07,51
2022-08,60
2022-09,66
2022-10,76
2022-11,70
2022-12,81
2023-01,98
2023-02,88
2023-03,80
2023-04,100
2023-05,71
2023-06,64
2023-07,78
2023-08,92
2023-09,89
2023-10,94
