Category: All categories

Month,ramen: (Netherlands)
2004-01,20
2004-02,20
2004-03,20
2004-04,27
2004-05,33
2004-06,23
2004-07,28
2004-08,35
2004-09,28
2004-10,21
2004-11,27
2004-12,24
2005-01,23
2005-02,26
2005-03,25
2005-04,17
2005-05,22
2005-06,23
2005-07,27
2005-08,22
2005-09,27
2005-10,23
2005-11,28
2005-12,16
2006-01,23
2006-02,21
2006-03,23
2006-04,27
2006-05,25
2006-06,19
2006-07,30
2006-08,30
2006-09,27
2006-10,22
2006-11,22
2006-12,20
2007-01,27
2007-02,28
2007-03,25
2007-04,32
2007-05,28
2007-06,28
2007-07,27
2007-08,28
2007-09,25
2007-10,27
2007-11,22
2007-12,23
2008-01,23
2008-02,26
2008-03,23
2008-04,29
2008-05,30
2008-06,28
2008-07,31
2008-08,27
2008-09,26
2008-10,26
2008-11,24
2008-12,22
2009-01,25
2009-02,24
2009-03,29
2009-04,29
2009-05,28
2009-06,28
2009-07,28
2009-08,32
2009-09,29
2009-10,26
2009-11,28
2009-12,25
2010-01,25
2010-02,27
2010-03,32
2010-04,31
2010-05,29
2010-06,30
2010-07,32
2010-08,29
2010-09,29
2010-10,30
2010-11,28
2010-12,26
2011-01,29
2011-02,29
2011-03,33
2011-04,33
2011-05,30
2011-06,30
2011-07,28
2011-08,31
2011-09,30
2011-10,29
2011-11,28
2011-12,22
2012-01,30
2012-02,30
2012-03,35
2012-04,30
2012-05,32
2012-06,30
2012-07,33
2012-08,36
2012-09,31
2012-10,33
2012-11,30
2012-12,28
2013-01,29
2013-02,30
2013-03,33
2013-04,35
2013-05,35
2013-06,34
2013-07,39
2013-08,39
2013-09,36
2013-10,39
2013-11,36
2013-12,34
2014-01,33
2014-02,35
2014-03,36
2014-04,34
2014-05,34
2014-06,34
2014-07,35
2014-08,36
2014-09,33
2014-10,37
2014-11,41
2014-12,32
2015-01,39
2015-02,39
2015-03,37
2015-04,43
2015-05,39
2015-06,39
2015-07,42
2015-08,44
2015-09,41
2015-10,41
2015-11,41
2015-12,36
2016-01,47
2016-02,47
2016-03,45
2016-04,46
2016-05,42
2016-06,43
2016-07,46
2016-08,45
2016-09,48
2016-10,52
2016-11,50
2016-12,47
2017-01,46
2017-02,46
2017-03,53
2017-04,51
2017-05,50
2017-06,52
2017-07,53
2017-08,53
2017-09,53
2017-10,53
2017-11,67
2017-12,49
2018-01,60
2018-02,69
2018-03,60
2018-04,63
2018-05,60
2018-06,56
2018-07,68
2018-08,70
2018-09,65
2018-10,67
2018-11,65
2018-12,55
2019-01,65
2019-02,73
2019-03,61
2019-04,67
2019-05,65
2019-06,65
2019-07,71
2019-08,88
2019-09,66
2019-10,74
2019-11,73
2019-12,62
2020-01,73
2020-02,64
2020-03,71
2020-04,79
2020-05,76
2020-06,75
2020-07,71
2020-08,79
2020-09,78
2020-10,71
2020-11,75
2020-12,63
2021-01,71
2021-02,91
2021-03,72
2021-04,73
2021-05,68
2021-06,71
2021-07,65
2021-08,68
2021-09,73
2021-10,76
2021-11,73
2021-12,70
2022-01,73
2022-02,81
2022-03,92
2022-04,80
2022-05,73
2022-06,73
2022-07,80
2022-08,82
2022-09,88
2022-10,98
2022-11,95
2022-12,95
2023-01,87
2023-02,91
2023-03,79
2023-04,86
2023-05,79
2023-06,86
2023-07,83
2023-08,80
2023-09,90
2023-10,100
