Category: All categories

Month,ramen: (United Kingdom)
2004-01,1
2004-02,6
2004-03,5
2004-04,0
2004-05,4
2004-06,4
2004-07,0
2004-08,2
2004-09,6
2004-10,4
2004-11,2
2004-12,3
2005-01,5
2005-02,5
2005-03,4
2005-04,4
2005-05,4
2005-06,3
2005-07,3
2005-08,5
2005-09,2
2005-10,5
2005-11,5
2005-12,4
2006-01,7
2006-02,4
2006-03,6
2006-04,8
2006-05,4
2006-06,5
2006-07,4
2006-08,7
2006-09,5
2006-10,5
2006-11,4
2006-12,5
2007-01,6
2007-02,6
2007-03,4
2007-04,6
2007-05,5
2007-06,5
2007-07,4
2007-08,5
2007-09,7
2007-10,5
2007-11,5
2007-12,4
2008-01,4
2008-02,6
2008-03,6
2008-04,5
2008-05,6
2008-06,5
2008-07,6
2008-08,6
2008-09,6
2008-10,5
2008-11,5
2008-12,6
2009-01,6
2009-02,6
2009-03,6
2009-04,6
2009-05,8
2009-06,6
2009-07,5
2009-08,6
2009-09,6
2009-10,7
2009-11,6
2009-12,6
2010-01,6
2010-02,6
2010-03,6
2010-04,7
2010-05,5
2010-06,5
2010-07,6
2010-08,6
2010-09,6
2010-10,7
2010-11,7
2010-12,6
2011-01,8
2011-02,7
2011-03,6
2011-04,6
2011-05,7
2011-06,6
2011-07,7
2011-08,7
2011-09,8
2011-10,8
2011-11,8
2011-12,8
2012-01,9
2012-02,8
2012-03,8
2012-04,7
2012-05,8
2012-06,9
2012-07,9
2012-08,9
2012-09,8
2012-10,9
2012-11,11
2012-12,10
2013-01,12
2013-02,13
2013-03,12
2013-04,13
2013-05,11
2013-06,10
2013-07,10
2013-08,13
2013-09,13
2013-10,11
2013-11,12
2013-12,12
2014-01,16
2014-02,14
2014-03,14
2014-04,14
2014-05,13
2014-06,12
2014-07,12
2014-08,15
2014-09,15
2014-10,17
2014-11,17
2014-12,15
2015-01,23
2015-02,19
2015-03,19
2015-04,18
2015-05,19
2015-06,17
2015-07,16
2015-08,19
2015-09,18
2015-10,20
2015-11,20
2015-12,22
2016-01,35
2016-02,27
2016-03,24
2016-04,25
2016-05,22
2016-06,21
2016-07,21
2016-08,25
2016-09,27
2016-10,28
2016-11,31
2016-12,27
2017-01,33
2017-02,34
2017-03,33
2017-04,34
2017-05,30
2017-06,27
2017-07,31
2017-08,35
2017-09,38
2017-10,41
2017-11,37
2017-12,34
2018-01,43
2018-02,46
2018-03,41
2018-04,39
2018-05,36
2018-06,34
2018-07,33
2018-08,47
2018-09,51
2018-10,51
2018-11,38
2018-12,39
2019-01,50
2019-02,47
2019-03,44
2019-04,42
2019-05,44
2019-06,40
2019-07,44
2019-08,42
2019-09,45
2019-10,45
2019-11,48
2019-12,44
2020-01,61
2020-02,59
2020-03,47
2020-04,54
2020-05,49
2020-06,44
2020-07,46
2020-08,54
2020-09,53
2020-10,55
2020-11,55
2020-12,48
2021-01,62
2021-02,60
2021-03,49
2021-04,49
2021-05,51
2021-06,50
2021-07,51
2021-08,58
2021-09,58
2021-10,63
2021-11,60
2021-12,58
2022-01,80
2022-02,65
2022-03,70
2022-04,63
2022-05,59
2022-06,56
2022-07,58
2022-08,58
2022-09,63
2022-10,71
2022-11,70
2022-12,74
2023-01,91
2023-02,78
2023-03,70
2023-04,72
2023-05,100
2023-06,58
2023-07,73
2023-08,75
2023-09,72
2023-10,85
